time,success_cloudlets,pending_cloudlets,power_kW,c_power
670,6364,63,0.1140,76.3800
671,6364,63,0.1140,76.4940
672,6427,63,0.1140,76.6080
673,6427,63,0.1140,76.7220
674,6427,63,0.1140,76.8360
675,6427,63,0.1140,76.9500
676,6427,63,0.1140,77.0640
677,6427,63,0.1140,77.1780
678,6427,63,0.1140,77.2920
679,6490,63,0.1140,77.4060
680,6490,63,0.1140,77.5200
681,6490,63,0.1140,77.6340
682,6490,63,0.1140,77.7480
683,6490,63,0.1140,77.8620
684,6490,63,0.1140,77.9760
685,6490,63,0.1140,78.0900
686,6553,63,0.1140,78.2040
687,6553,63,0.1140,78.3180
688,6553,63,0.1140,78.4320
689,6553,63,0.1140,78.5460
690,6553,63,0.1140,78.6600
691,6553,63,0.1140,78.7740
692,6553,63,0.1140,78.8880
693,6616,63,0.1140,79.0020
694,6616,63,0.1140,79.1160
695,6616,63,0.1140,79.2300
696,6616,63,0.1140,79.3440
697,6616,63,0.1140,79.4580
698,6616,63,0.1140,79.5720
699,6616,63,0.1140,79.6860
700,6679,63,0.1140,79.8000
701,6679,63,0.1140,79.9140
702,6679,63,0.1140,80.0280
703,6679,63,0.1140,80.1420
704,6679,63,0.1140,80.2560
705,6679,63,0.1140,80.3700
706,6742,63,0.1140,80.4840
707,6742,63,0.1140,80.5980
708,6742,63,0.1140,80.7120
709,6742,63,0.1140,80.8260
710,6742,63,0.1140,80.9400
711,6742,63,0.1140,81.0540
712,6805,63,0.1140,81.1680
713,6805,63,0.1140,81.2820
714,6805,63,0.1140,81.3960
715,6805,63,0.1140,81.5100
716,6805,63,0.1140,81.6240
717,6805,63,0.1140,81.7380
718,6805,63,0.1140,81.8520
719,6868,63,0.1140,81.9660
720,6868,63,0.1140,82.0800
721,6868,63,0.1140,82.1940
722,6868,63,0.1140,82.3080
723,6868,63,0.1140,82.4220
724,6868,63,0.1140,82.5360
725,6868,63,0.1140,82.6500
726,6931,63,0.1140,82.7640
727,6931,63,0.1140,82.8780
728,6931,63,0.1140,82.9920
729,6931,63,0.1140,83.1060
730,6931,63,0.1140,83.2200
731,6931,63,0.1140,83.3340
732,6931,63,0.1140,83.4480
733,6994,63,0.1140,83.5620
734,6994,63,0.1140,83.6760
735,6994,63,0.1140,83.7900
736,6994,63,0.1140,83.9040
737,6994,63,0.1140,84.0180
738,6994,63,0.1140,84.1320
739,6994,63,0.1140,84.2460
740,7057,63,0.1140,84.3600
741,7057,63,0.1140,84.4740
742,7057,63,0.1140,84.5880
743,7057,63,0.1140,84.7020
744,7057,63,0.1140,84.8160
745,7057,63,0.1140,84.9300
746,7120,63,0.1140,85.0440
747,7120,63,0.1140,85.1580
748,7120,63,0.1140,85.2720
749,7120,63,0.1140,85.3860
750,7120,63,0.1140,85.5000
751,7120,63,0.1140,85.6140
752,7183,63,0.1140,85.7280
753,7183,63,0.1140,85.8420
754,7183,63,0.1140,85.9560
755,7183,63,0.1140,86.0700
756,7183,63,0.1140,86.1840
757,7183,63,0.1140,86.2980
758,7183,63,0.1140,86.4120
759,7246,63,0.1140,86.5260
760,7246,63,0.1140,86.6400
761,7246,63,0.1140,86.7540
762,7246,63,0.1140,86.8680
763,7246,63,0.1140,86.9820
764,7246,63,0.1140,87.0960
